#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra
Ayrton Senna Kart Duel (Europe);Ayrton Senna Kart Duel (Europe);Sony PlayStation;;1996;SunSoft;Driving;1;;;;;;;;
Ayrton Senna Kart Duel 2 (Europe);Ayrton Senna Kart Duel 2 (Europe);Sony PlayStation;;1997;SunSoft;Driving;2;;;;;;;;
Aztec - The Curse in the Heart of the City of Gold (Europe);Aztec - The Curse in the Heart of the City of Gold (Europe);Sony PlayStation;;2000;Cryo Interactive;Adventure;;;;;;;;;
Azure Dreams (USA);Azure Dreams (USA);Sony PlayStation;;1998;Konami;Role-Playing;1;;;;;;;;
"Baby Felix Tennis (Europe) (En,Fr,De,Es,It,Nl)";Baby Felix Tennis (Europe);Sony PlayStation;;2002;LSP;Sports/Tennis;2;;;;;;;;
Baby Felix Tennis (Europe);Baby Felix Tennis (Europe);Sony PlayStation;;2002;LSP;Sports/Tennis;2;;;;;;;;
Baby Universe (Europe);Baby Universe (Europe);Sony PlayStation;;1998;Sony;Rhythm;1;;;;;;;;
Backstreet Billiards (USA);Backstreet Billiards (USA);Sony PlayStation;;1998;ASCII Entertainment;Sports/Pool and Dart;4;;;;;;;;
Backyard Soccer (USA);Backyard Soccer (USA);Sony PlayStation;;2001;Infogrames;Sports/Soccer;2;;;;;;;;
Baldies (USA);Baldies (USA);Sony PlayStation;;2003;Mud Duck Productions;Strategy;1;;;;;;;;
Baldur's Gate (USA) (Disc 1) (Proto);Baldur's Gate (USA) (Disc 1) (Proto);Sony PlayStation;;1999;Runecraft;Role-Playing;;;;;;;;;
Baldur's Gate (USA) (Disc 2) (Proto);Baldur's Gate (USA) (Disc 2) (Proto);Sony PlayStation;;1999;Runecraft;Role-Playing;;;;;;;;;
Baldur's Gate (USA) (Disc 3) (Proto);Baldur's Gate (USA) (Disc 3) (Proto);Sony PlayStation;;1999;Runecraft;Role-Playing;;;;;;;;;
Ball Breakers (USA);Ball Breakers (USA);Sony PlayStation;;2000;Take-Two Interactive;Action;2;;;;;;;;
BallBlazer Champions (USA);BallBlazer Champions (USA);Sony PlayStation;;1997;LucasArts;Action;2;;;;;;;;
Ballerburg - Castle Chaos (USA);Ballerburg - Castle Chaos (USA);Sony PlayStation;;2003;Mud Duck Productions;Strategy;2;;;;;;;;
Ballistic (USA);Ballistic (USA);Sony PlayStation;;1999;Infogrames;Puzzle;2;;;;;;;;
Barbie - Explorer (USA);Barbie - Explorer (USA);Sony PlayStation;;2001;Vivendi Universal;Action;2;;;;;;;;
Barbie - Gotta Have Games (USA);Barbie - Gotta Have Games (USA);Sony PlayStation;;2003;Vivendi Universal;Mini-Games;1;;;;;;;;
Barbie - Race & Ride (USA);Barbie - Race & Ride (USA);Sony PlayStation;;1999;Mattel;Sports/Horse Racing;2;;;;;;;;
Barbie - Super Sports (USA);Barbie - Super Sports (USA);Sony PlayStation;;1999;Mattel;Sports;2;;;;;;;;
Baseball 2000 (Europe);Baseball 2000 (Europe);Sony PlayStation;;1999;Interplay;Sports/Baseball;2;;;;;;;;
Bases Loaded '96 - Double Header (USA);Bases Loaded '96 - Double Header (USA);Sony PlayStation;;1995;Jaleco;Sports/Baseball;2;;;;;;;;
Bass Landing (USA);Bass Landing (USA);Sony PlayStation;;1999;Agetec;Sports/Fishing;1;;;;;;;;
Bass Rise (USA);Bass Rise (USA);Sony PlayStation;;1999;Bandai;Sports/Fishing;4;;;;;;;;
Batman & Robin (USA);Batman & Robin (USA);Sony PlayStation;;1998;Acclaim;Action;1;;;;;;;;
Batman - Gotham City Racer (USA);Batman - Gotham City Racer (USA);Sony PlayStation;;2001;Ubisoft;Driving;2;;;;;;;;
Batman Beyond - Return of the Joker (USA);Batman Beyond - Return of the Joker (USA);Sony PlayStation;;2000;Ubisoft;Action;1;;;;;;;;
Batman Forever - The Arcade Game (USA);Batman Forever - The Arcade Game (USA);Sony PlayStation;;1996;Acclaim;Beat-'Em-Up;2;;;;;;;;
Battle Arena Toshinden (USA);Battle Arena Toshinden (USA);Sony PlayStation;;1995;SCEA;Fighter;2;;;;;;;;
Battle Arena Toshinden 2 (USA);Battle Arena Toshinden 2 (USA);Sony PlayStation;;1996;Playmates;Fighter;2;;;;;;;;
"Battle Arena Toshinden 3 (USA) (En,Ja)";Battle Arena Toshinden 3 (USA);Sony PlayStation;;1997;Playmates;Fighter;2;;;;;;;;
Battle Arena Toshinden 3 (USA);Battle Arena Toshinden 3 (USA);Sony PlayStation;;1997;Playmates;Fighter;2;;;;;;;;
Battle Arena Toshinden 4 (Europe);Battle Arena Toshinden 4 (Europe);Sony PlayStation;;2000;Virgin Interactive;Fighter;2;;;;;;;;
