#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra
"Chase H.Q. (USA, Europe)";"Chase H.Q. (USA, Europe)";Nintendo Game Boy;;1990;Taito Corporation;Driving;1;;;;;;;;
"Chessmaster, The (USA)";"Chessmaster, The (USA)";Nintendo Game Boy;;1991;Tech Expressions;Board Games;2;;;;;;;;
"Chessmaster, The (USA) (Rev A)";"Chessmaster, The (USA) (Rev A)";Nintendo Game Boy;;1991;Tech Expressions;Board Games;2;;;;;;;;
Chiki Chiki Machine Mou Race (Japan);Chiki Chiki Machine Mou Race (Japan);Nintendo Game Boy;;1992;Atlus Co.;Driving;;;;;;;;;
Chiki Chiki Tengoku (Japan);Chiki Chiki Tengoku (Japan);Nintendo Game Boy;;1995;J-Wing;Puzzle;;;;;;;;;
Chikyuu Kaihou Gun ZAS (Japan);Chikyuu Kaihou Gun ZAS (Japan);Nintendo Game Boy;;1992;T&E Soft;Shooter;;;;;;;;;
Choplifter II - Rescue & Survive (USA);Choplifter II - Rescue & Survive (USA);Nintendo Game Boy;;1991;Victor Interactive Software;Shoot-'Em-Up;2;;;;;;;;
Choplifter III (Europe);Choplifter III (Europe);Nintendo Game Boy;;1994;Ocean;Shoot-'Em-Up;2;;;;;;;;
"Chuck Rock (USA, Europe)";"Chuck Rock (USA, Europe)";Nintendo Game Boy;;1993;Sony Imagesoft;Platform;;;;;;;;;
"Cliffhanger (USA, Europe)";"Cliffhanger (USA, Europe)";Nintendo Game Boy;;1993;Sony Imagesoft;Platform;;;;;;;;;
Collection Pocket (Japan);Collection Pocket (Japan);Nintendo Game Boy;;1997;Naxat Soft;Compilation;;;;;;;;;
College Slam (USA);College Slam (USA);Nintendo Game Boy;;1996;Acclaim;Sports/Basketball;1;;;;;;;;
Contra - The Alien Wars (USA);Contra - The Alien Wars (USA);Nintendo Game Boy;;1994;Konami;Shooter;1;;;;;;;;
Cool Ball (USA);Cool Ball (USA);Nintendo Game Boy;;1994;Takara;Puzzle;1;;;;;;;;
Cool Hand (Europe);Cool Hand (Europe);Nintendo Game Boy;;1998;Take-Two Interactive;Board Games;;;;;;;;;
Cool Spot (USA);Cool Spot (USA);Nintendo Game Boy;;1994;Virgin Interactive;Platform;1;;;;;;;;
"Cool World (USA, Europe)";"Cool World (USA, Europe)";Nintendo Game Boy;;1993;Ocean;Platform;;;;;;;;;
Cosmo Tank (USA);Cosmo Tank (USA);Nintendo Game Boy;;1990;Atlus Co.;Shoot-'Em-Up;;;;;;;;;
Crayon Shin-chan - Ora no Gokigen Collection (Japan);Crayon Shin-chan - Ora no Gokigen Collection (Japan);Nintendo Game Boy;;1996;Bandai;Mini-Games;;;;;;;;;
Crayon Shin-chan - Ora to Shiro wa Otomodachi Da yo (Japan);Crayon Shin-chan - Ora to Shiro wa Otomodachi Da yo (Japan);Nintendo Game Boy;;1993;Bandai;Platform;;;;;;;;;
Crayon Shin-chan 2 - Ora to Wanpaku Gokko Dazo (Japan);Crayon Shin-chan 2 - Ora to Wanpaku Gokko Dazo (Japan);Nintendo Game Boy;;1993;Banirex;Platform;;;;;;;;;
Crayon Shin-chan 3 - Ora no Gokigen Athletic (Japan);Crayon Shin-chan 3 - Ora no Gokigen Athletic (Japan);Nintendo Game Boy;;1994;Bandai;Mini-Games;;;;;;;;;
Crayon Shin-chan 4 - Ora no Itazura Daihenshin (Japan);Crayon Shin-chan 4 - Ora no Itazura Daihenshin (Japan);Nintendo Game Boy;;1994;Bandai;Platform;;;;;;;;;
Crazy Burger (Asia) (Unl);Crazy Burger (Asia) (Unl);Nintendo Game Boy;;1991;Sachen;Action;;;;;;;;;
Crystal Quest (USA);Crystal Quest (USA);Nintendo Game Boy;;1991;Data East;Action;2;;;;;;;;
"CutThroat Island (USA, Europe)";"CutThroat Island (USA, Europe)";Nintendo Game Boy;;1996;Acclaim;Action;1;;;;;;;;
Cyraid (USA);Cyraid (USA);Nintendo Game Boy;;1991;Nexoft;Action;;;;;;;;;
Daedalian Opus (USA);Daedalian Opus (USA);Nintendo Game Boy;;1990;Vic Tokai;Puzzle;1;;;;;;;;
Daffy Duck (USA);Daffy Duck (USA);Nintendo Game Boy;;1995;SunSoft;Platform;1;;;;;;;;
Daiku no Gen-san - Robot Teikoku no Yabou (Japan);Daiku no Gen-san - Robot Teikoku no Yabou (Japan);Nintendo Game Boy;;1994;Irem;Platform;;;;;;;;;
Daisenryaku (Japan) (Translated En);Daisenryaku (Japan) (Translated En);Nintendo Game Boy;;1991;Hiro;Strategy;2;;;;;;;;
Dan Laser (Asia) (Unl);Dan Laser (Asia) (Unl);Nintendo Game Boy;;1990;Sachen;Shoot-'Em-Up;;;;;;;;;
Darkman (USA);Darkman (USA);Nintendo Game Boy;;1992;Ocean;Action;;;;;;;;;
