#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra
Evolution Snowboarding (USA);Evolution Snowboarding (USA);Sony PlayStation 2;;2002;Konami;Sports/Snowboarding;;;;;;;;;
Ex Zeus (Europe);Ex Zeus (Europe);Sony PlayStation 2;;2004;Hyper - Devbox;Shooter;1;;;;;;;;
Extermination (USA);Extermination (USA);Sony PlayStation 2;;2001;Deep Space;Action;1;;;;;;;;
Extreme Sprint 3010 (Europe);Extreme Sprint 3010 (Europe);Sony PlayStation 2;;2007;Phoenix Games;Action;;;;;;;;;
EyeToy - AntiGrav (USA);EyeToy - AntiGrav (USA);Sony PlayStation 2;;2004;Harmonix Music Systems;Sports;4;;;;;;;;
EyeToy - Chat (Europe);EyeToy - Chat (Europe);Sony PlayStation 2;;2005;SCEE London Studio;Miscellaneous;;;;;;;;;
EyeToy - Groove (USA);EyeToy - Groove (USA);Sony PlayStation 2;;2004;SCEE;Rhythm;2;;;;;;;;
EyeToy - Kinetic (USA);EyeToy - Kinetic (USA);Sony PlayStation 2;;2005;SCEE London Studio;Sports;4;;;;;;;;
EyeToy - Kinetic Combat (Europe);EyeToy - Kinetic Combat (Europe);Sony PlayStation 2;;2006;SCEE London Studio;Sports;4;;;;;;;;
EyeToy - Monkey Mania (Europe);EyeToy - Monkey Mania (Europe);Sony PlayStation 2;;2005;SCEI;Party;1;;;;;;;;
EyeToy - Operation Spy (USA);EyeToy - Operation Spy (USA);Sony PlayStation 2;;2005;SCEE London Studio;Action;1;;;;;;;;
EyeToy - Play (USA);EyeToy - Play (USA);Sony PlayStation 2;;2003;SCEA;Miscellaneous;4;;;;;;;;
EyeToy - Play 2 (USA);EyeToy - Play 2 (USA);Sony PlayStation 2;;2005;SCEE;Miscellaneous;4;;;;;;;;
EyeToy - Play 3 (Europe);EyeToy - Play 3 (Europe);Sony PlayStation 2;;2005;SCEE London Studio;Miscellaneous;4;;;;;;;;
EyeToy Play - Astro Zoo (Europe);EyeToy Play - Astro Zoo (Europe);Sony PlayStation 2;;2007;SCEE London Studio;Miscellaneous;;;;;;;;;
EyeToy Play - Hero (Europe);EyeToy Play - Hero (Europe);Sony PlayStation 2;;2008;SCEE;Miscellaneous;4;;;;;;;;
EyeToy Play - PomPom Party (Europe);EyeToy Play - PomPom Party (Europe);Sony PlayStation 2;;2008;SCEE London Studio;Action;4;;;;;;;;
EyeToy Play - Sports (Europe);EyeToy Play - Sports (Europe);Sony PlayStation 2;;2006;SCEE;Miscellaneous;;;;;;;;;
F1 2001 (USA);F1 2001 (USA);Sony PlayStation 2;;2001;EA Sports;Driving;2;;;;;;;;
F1 2002 (USA);F1 2002 (USA);Sony PlayStation 2;;2002;Visual Sciences;Driving;2;;;;;;;;
F1 Career Challenge (USA);F1 Career Challenge (USA);Sony PlayStation 2;;2003;Electronic Arts;Driving;2;;;;;;;;
F1 Championship Season 2000 (USA);F1 Championship Season 2000 (USA);Sony PlayStation 2;;2000;EA Sports;Driving;2;;;;;;;;
F1 Racing Championship (Europe);F1 Racing Championship (Europe);Sony PlayStation 2;;2001;Ubisoft;Driving;2;;;;;;;;
FIFA 07 Soccer (USA);FIFA 07 Soccer (USA);Sony PlayStation 2;;2006;Team Fusion;Sports/Soccer;2;;;;;;;;
FIFA 14 - Legacy Edition (Europe);FIFA 14 - Legacy Edition (Europe);Sony PlayStation 2;;2013;EA Sports;Sports/Soccer;;;;;;;;;
FIFA 2001 (USA);FIFA 2001 (USA);Sony PlayStation 2;;2000;EA Canada;Sports/Soccer;2;;;;;;;;
FIFA Soccer 06 (USA);FIFA Soccer 06 (USA);Sony PlayStation 2;;2005;EA Canada;Sports/Soccer;2;;;;;;;;
FIFA Soccer 08 (USA);FIFA Soccer 08 (USA);Sony PlayStation 2;;2007;EA Canada;Sports/Soccer;2;;;;;;;;
FIFA Soccer 09 (USA);FIFA Soccer 09 (USA);Sony PlayStation 2;;2008;EA Canada;Sports/Soccer;2;;;;;;;;
FIFA Soccer 10 (USA);FIFA Soccer 10 (USA);Sony PlayStation 2;;2009;EA Sports;Sports/Soccer;2;;;;;;;;
FIFA Soccer 11 (USA);FIFA Soccer 11 (USA);Sony PlayStation 2;;2010;EA Sports;Sports/Soccer;;;;;;;;;
FIFA Soccer 12 (USA);FIFA Soccer 12 (USA);Sony PlayStation 2;;2011;Electronic Arts;Sports/Soccer;;;;;;;;;
FIFA Soccer 13 (USA);FIFA Soccer 13 (USA);Sony PlayStation 2;;2012;Electronic Arts;Sports/Soccer;2;;;;;;;;
FIFA Soccer 2002 (USA);FIFA Soccer 2002 (USA);Sony PlayStation 2;;2001;EA Sports;Sports/Soccer;2;;;;;;;;
FIFA Soccer 2003 (USA);FIFA Soccer 2003 (USA);Sony PlayStation 2;;2002;EA Canada;Sports/Soccer;2;;;;;;;;
FIFA Soccer 2004 (USA);FIFA Soccer 2004 (USA);Sony PlayStation 2;;2003;EA Canada;Sports/Soccer;2;;;;;;;;
FIFA Soccer 2005 (USA);FIFA Soccer 2005 (USA);Sony PlayStation 2;;2004;EA Canada;Sports/Soccer;2;;;;;;;;
FIFA Street (USA);FIFA Street (USA);Sony PlayStation 2;;2005;EA Canada;Sports/Soccer;2;;;;;;;;
FIFA Street 2 (USA);FIFA Street 2 (USA);Sony PlayStation 2;;2006;EA Canada;Sports/Soccer;2;;;;;;;;
FIFA World Cup - Germany 2006 (USA);FIFA World Cup - Germany 2006 (USA);Sony PlayStation 2;;2006;EA Canada;Sports/Soccer;2;;;;;;;;
"Fairly OddParents! Breakin' Da Rules, The (USA)";"Fairly OddParents! Breakin' Da Rules, The (USA)";Sony PlayStation 2;;2003;Blitz Games;Action;;;;;;;;;
"Fairly OddParents! Shadow Showdown, The (USA)";"Fairly OddParents! Shadow Showdown, The (USA)";Sony PlayStation 2;;2004;THQ;Platform;;;;;;;;;
Falling Stars (USA);Falling Stars (USA);Sony PlayStation 2;;2008;Ivolgamus;Role-Playing;1;;;;;;;;
Fallout - Brotherhood of Steel (USA);Fallout - Brotherhood of Steel (USA);Sony PlayStation 2;;2004;Interplay;Role-Playing;2;;;;;;;;
Family Board Games (Europe);Family Board Games (Europe);Sony PlayStation 2;;2006;Mere Mortals;Board Games;;;;;;;;;
Family Feud (USA);Family Feud (USA);Sony PlayStation 2;;2006;Ingram Entertainment;Game Show;2;;;;;;;;
