#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra
Donald in Maui Mallard (Europe);Donald in Maui Mallard (Europe);Sega Genesis;;1995;Eurocom Entertainment Software;Platform;;;;;;;;;
Doom Troopers (USA);Doom Troopers (USA);Sega Genesis;;1995;Adrenalin Entertainment;Platform;2;;;;;;;;
Double Clutch (Europe);Double Clutch (Europe);Sega Genesis;;1992;BGS Development;Driving;2;;;;;;;;
"Double Dragon (USA, Europe)";"Double Dragon (USA, Europe)";Sega Genesis;;1993;Software Creations;Beat-'Em-Up;2;;;;;;;;
"Double Dragon 3 - The Arcade Game (USA, Europe)";"Double Dragon 3 - The Arcade Game (USA, Europe)";Sega Genesis;;1992;Software Creations;Beat-'Em-Up;2;;;;;;;;
Double Dragon V - The Shadow Falls (USA);Double Dragon V - The Shadow Falls (USA);Sega Genesis;;1994;Leland Interactive Media;Fighter;2;;;;;;;;
Double Dribble - The Playoff Edition (USA);Double Dribble - The Playoff Edition (USA);Sega Genesis;;1994;Konami;Sports/Basketball;8;;;;;;;;
Dr. Robotnik's Mean Bean Machine (USA);Dr. Robotnik\'s Mean Bean Machine (USA);Sega Genesis;;1993;Sega;Puzzle;2;;;;;;;;
Dragon - The Bruce Lee Story (USA);Dragon - The Bruce Lee Story (USA);Sega Genesis;;1994;Virgin Interactive;Fighter;3;;;;;;;;
"Dragon's Fury (USA, Europe)";"Dragon\'s Fury (USA, Europe)";Sega Genesis;;1992;TechnoSoft;Pinball;;;;;;;;;
"Dragon's Revenge (USA, Europe)";"Dragon\'s Revenge (USA, Europe)";Sega Genesis;;1993;Tengen;Pinball;2;;;;;;;;
Dune - The Battle for Arrakis (USA);Dune - The Battle for Arrakis (USA);Sega Genesis;;1993;Westwood Studios;Strategy;;;;;;;;;
"Dungeons & Dragons - Warriors of the Eternal Sun (USA, Europe)";"Dungeons & Dragons - Warriors of the Eternal Sun (USA, Europe)";Sega Genesis;;1992;Sega;Role-Playing;;;;;;;;;
Dynamite Duke (World) (Rev A);Dynamite Duke (World) (Rev A);Sega Genesis;;1990;Sega;Action;1;;;;;;;;
"Dynamite Headdy (USA, Europe)";"Dynamite Headdy (USA, Europe)";Sega Genesis;;1994;Treasure;Platform;1;;;;;;;;
EA Sports Double Header (Europe);EA Sports Double Header (Europe);Sega Genesis;;1993;Park Place Productions;Sports;2;;;;;;;;
ESPN Baseball Tonight (USA);ESPN Baseball Tonight (USA);Sega Genesis;;1995;Park Place Productions;Sports/Baseball;2;;;;;;;;
ESPN National Hockey Night (USA);ESPN National Hockey Night (USA);Sega Genesis;;1994;Park Place Productions;Sports/Hockey;4;;;;;;;;
ESPN Speed World (USA);ESPN Speed World (USA);Sega Genesis;;1994;Park Place Productions;Driving;2;;;;;;;;
ESPN Sunday Night NFL (USA);ESPN Sunday Night NFL (USA);Sega Genesis;;1994;Ringler Studios;Sports/Football;2;;;;;;;;
"ESWAT - City Under Siege (USA, Europe)";"ESWAT - City Under Siege (USA, Europe)";Sega Genesis;;1990;Sega;Platform;1;;;;;;;;
